product_name,brand,root_domain,page_url,price
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Transparent-Black-Burst,Transparent-White-Satin,Vintage-White,Ziricote","[{'amount': 639.0, 'currency': 'USD', 'type': 'max'}
 {'amount': 449.0, 'currency': 'USD', 'type': 'min'}]"
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Silver-Mountain,Steele-Green,Transparent-Black-Burst,Transparent-Purple-Burst,Ultra-Violet,Ziricote","[{'amount': 949.0, 'currency': 'USD', 'type': 'min'}
 {'amount': 1349.0, 'currency': 'USD', 'type': 'max'}]"
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Snowblind,Transparent-Blue-Burst,Ultra-Violet-%28UV%29,Vintage-White,Ziricote","[{'amount': 1719.0, 'currency': 'USD', 'type': 'exact'}]"
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-Aqua,Scarlet-Burst,See~Thru-Black-%28STBLK%29,Ziricote","[{'amount': 349.0, 'currency': 'USD', 'type': 'min'}
 {'amount': 949.0, 'currency': 'USD', 'type': 'max'}]"
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,See~Thru-Cherry-Burst,Snowblind,Transparent-Black-Burst,Ziricote","[{'amount': 1899.0, 'currency': 'USD', 'type': 'min'}
 {'amount': 2719.0, 'currency': 'USD', 'type': 'max'}]"
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Azure,Juice-Burst,Sea-Foam-Green-%28SFG%29/custitem_dexterity/Right-Handed","[{'amount': 749.0, 'currency': 'USD', 'type': 'min'}
 {'amount': 1599.0, 'currency': 'USD', 'type': 'max'}]"
Guitar,Schecter,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Blood-Moon/custitem_dexterity/Right-Handed/custitem_kd_guitarcolor_list/Blood-Moon,Faded-Vintage-Sunburst,Ticket-To-My-Downfall-Pink.png,Ticket-To-My-Downfall-Pink.png,Ticket-To-My-Downfall-Pink.png,Ticket-To-My-Downfall-Pink.png,Ticket-To-My-Downfall-Pink.png,Transparent-Purple-Burst",[]
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Silver-Mountain,Steele-Green,Transparent-Black-Burst,Transparent-Purple-Burst,Ultra-Violet,Ziricote","[{'amount': 1199.0, 'currency': 'USD', 'type': 'min'}
 {'amount': 1719.0, 'currency': 'USD', 'type': 'max'}]"
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Silver-Mountain,Ticket-to-My-Downfall-Pink,Transparent-Amber,Transparent-Black-Burst,Ziricote","[{'amount': 349.0, 'currency': 'USD', 'type': 'min'}
 {'amount': 499.0, 'currency': 'USD', 'type': 'max'}]"
Guitar,,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Silver-Mountain,Spalted-Maple,Trans-White-Satin-%28TWS%29,Transparent-Purple-Burst,Vintage-White-%28VWHT%29,Ziricote","[{'amount': 999.0, 'currency': 'USD', 'type': 'min'}
 {'amount': 1419.0, 'currency': 'USD', 'type': 'max'}]"
